state_fips,year,qtr,quarterly_date,area_title,avg_emplvl,log_emp,avg_wkly_wage,state_name,state_abbr,federal_mw_start,state_mw_start,federal_mw_avg,state_mw_avg,federal_mw_end,state_mw_end,t,effective_mw,log_effective_mw,cpi_u,real_mw_2012,log_real_mw,census_division,state_mw_change,effective_mw_change,log_effective_mw_change,state_rate_binding,state_initiated_increase,qualifying_hike_any,qualifying_hike_05,G_hike_any,cohort_hike_any,D_hike_any,rel_time_hike_any,G_hike_05,cohort_hike_05,D_hike_05,rel_time_hike_05
1,2009,1,2009q1,Alabama -- Statewide,135627.0,11.81766374971191,239,Alabama,AL,6.55,6.550000190734863,6.550000000000002,6.550000190734863,6.55,6.550000190734863,1,6.550000190734863,1.8794650787669867,214.537,7.009703425477097,1.9472953928016028,East South Central,,,,False,False,False,False,,0,0,,,0,0,
1,2009,2,2009q2,Alabama -- Statewide,139938.33333333334,11.848957128362832,245,Alabama,AL,6.55,6.550000190734863,6.550000000000001,6.550000190734863,6.55,6.550000190734863,2,6.550000190734863,1.8794650787669867,214.537,7.009703425477097,1.9472953928016028,East South Central,0.0,0.0,0.0,False,False,False,False,,0,0,,,0,0,
1,2009,3,2009q3,Alabama -- Statewide,137778.33333333334,11.833401392494935,254,Alabama,AL,6.55,6.550000190734863,7.075,7.074999809265137,7.25,7.25,3,7.075,1.9565674435293015,214.537,7.571549662762134,2.024397757563918,East South Central,0.5249996185302734,0.5249998092651369,0.0771023647623148,False,False,False,False,,0,0,,,0,0,
1,2009,4,2009q4,Alabama -- Statewide,134387.0,11.80847897620243,261,Alabama,AL,7.25,7.25,7.25,7.25,7.25,7.25,4,7.25,1.9810014688665833,214.537,7.758831809897592,2.0488317829011997,East South Central,0.17500019073486328,0.17499999999999982,0.024434025337281895,False,False,False,False,,0,0,,,0,0,
1,2010,1,2010q1,Alabama -- Statewide,132616.0,11.795213013104702,248,Alabama,AL,7.25,7.25,7.25,7.25,7.25,7.25,5,7.25,1.9810014688665833,218.056,7.633619345489231,2.032562090031529,East South Central,0.0,0.0,0.0,False,False,False,False,,0,0,,,0,0,
1,2010,2,2010q2,Alabama -- Statewide,137592.33333333334,11.832050485874865,259,Alabama,AL,7.25,7.25,7.25,7.25,7.25,7.25,6,7.25,1.9810014688665833,218.056,7.633619345489231,2.032562090031529,East South Central,0.0,0.0,0.0,False,False,False,False,,0,0,,,0,0,
1,2010,3,2010q3,Alabama -- Statewide,136702.66666666666,11.825563529958984,262,Alabama,AL,7.25,7.25,7.25,7.25,7.25,7.25,7,7.25,1.9810014688665833,218.056,7.633619345489231,2.032562090031529,East South Central,0.0,0.0,0.0,False,False,False,False,,0,0,,,0,0,
1,2010,4,2010q4,Alabama -- Statewide,135531.0,11.816955675423038,267,Alabama,AL,7.25,7.25,7.25,7.25,7.25,7.25,8,7.25,1.9810014688665833,218.056,7.633619345489231,2.032562090031529,East South Central,0.0,0.0,0.0,False,False,False,False,,0,0,,,0,0,
1,2011,1,2011q1,Alabama -- Statewide,133998.66666666666,11.805585128634789,252,Alabama,AL,7.25,7.25,7.25,7.25,7.25,7.25,9,7.25,1.9810014688665833,224.939,7.400035120632705,2.0014847462303083,East South Central,0.0,0.0,0.0,False,False,False,False,,0,0,,,0,0,
1,2011,2,2011q2,Alabama -- Statewide,139575.0,11.846357370178561,261,Alabama,AL,7.25,7.25,7.25,7.25,7.25,7.25,10,7.25,1.9810014688665833,224.939,7.400035120632705,2.0014847462303083,East South Central,0.0,0.0,0.0,False,False,False,False,,0,0,,,0,0,
1,2011,3,2011q3,Alabama -- Statewide,139926.33333333334,11.84887137262846,271,Alabama,AL,7.25,7.25,7.25,7.25,7.25,7.25,11,7.25,1.9810014688665833,224.939,7.400035120632705,2.0014847462303083,East South Central,0.0,0.0,0.0,False,False,False,False,,0,0,,,0,0,
1,2011,4,2011q4,Alabama -- Statewide,137322.33333333334,11.830086239368232,267,Alabama,AL,7.25,7.25,7.25,7.25,7.25,7.25,12,7.25,1.9810014688665833,224.939,7.400035120632705,2.0014847462303083,East South Central,0.0,0.0,0.0,False,False,False,False,,0,0,,,0,0,
1,2012,1,2012q1,Alabama -- Statewide,137993.66666666666,11.834963069366387,264,Alabama,AL,7.25,7.25,7.25,7.25,7.25,7.25,13,7.25,1.9810014688665833,229.594,7.25,1.9810014688665833,East South Central,0.0,0.0,0.0,False,False,False,False,,0,0,,,0,0,
1,2012,2,2012q2,Alabama -- Statewide,145090.66666666666,11.885114113348349,265,Alabama,AL,7.25,7.25,7.25,7.25,7.25,7.25,14,7.25,1.9810014688665833,229.594,7.25,1.9810014688665833,East South Central,0.0,0.0,0.0,False,False,False,False,,0,0,,,0,0,
1,2012,3,2012q3,Alabama -- Statewide,144100.0,11.878262781987614,269,Alabama,AL,7.25,7.25,7.25,7.25,7.25,7.25,15,7.25,1.9810014688665833,229.594,7.25,1.9810014688665833,East South Central,0.0,0.0,0.0,False,False,False,False,,0,0,,,0,0,
1,2012,4,2012q4,Alabama -- Statewide,141818.66666666666,11.862304525224923,275,Alabama,AL,7.25,7.25,7.25,7.25,7.25,7.25,16,7.25,1.9810014688665833,229.594,7.25,1.9810014688665833,East South Central,0.0,0.0,0.0,False,False,False,False,,0,0,,,0,0,
